riverside n:near+X	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
provide v:attr	nodetype=complex+deontmod=decl+diathesis=act+dispmod=nil+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=nil+verbmod=nil
those n:attr	nodetype=complex+number=pl+sempos=n.pron.indef
may v:fin	nodetype=complex+sempos=???
takeaway n:obj	nodetype=complex+number=sg+sempos=n.denot
trip n:attr	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
postcode n:attr	nodetype=complex+number=sg+sempos=n.denot
riverfront adj:attr	nodetype=complex+degcmp=pos+negation=neg0+sempos=adj.denot
specialise v:rc	nodetype=complex+deontmod=decl+diathesis=act+dispmod=disp0+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=sim+verbmod=ind
food n:obj	nodetype=complex+number=sg+sempos=n.denot
restaurant n:of+X	nodetype=complex+number=pl+sempos=n.denot
number n:at+X	nodetype=complex+number=sg+sempos=n.denot
X-name n:subj	nodetype=complex+number=sg+sempos=n.denot
Continental n:obj	nodetype=complex+number=sg+sempos=n.denot
where adv	nodetype=complex+sempos=adv.pron.indef
range v:fin	nodetype=complex+deontmod=decl+diathesis=act+dispmod=disp0+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=sim+verbmod=ind
food n:with+X	nodetype=complex+number=sg+sempos=n.denot
cuisine n:like+X	nodetype=complex+number=sg+sempos=n.denot
river n:obj	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
riverside n:at+X	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
takeaway n:for+X	nodetype=complex+number=sg+sempos=n.denot
n:attr	nodetype=complex+number=sg+sempos=n.denot
food n:near+X	nodetype=complex+number=sg+sempos=n.denot
locate v:attr	nodetype=complex+deontmod=decl+diathesis=act+dispmod=nil+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=ant+verbmod=nil
v:ger	nodetype=complex+deontmod=decl+diathesis=act+dispmod=nil+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=nil+verbmod=nil
too x	nodetype=atom+
serve v:ger	nodetype=complex+deontmod=decl+diathesis=act+dispmod=nil+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=nil+verbmod=nil
#PersPron n:obj	nodetype=complex+gender=nr+number=sg+person=1+sempos=n.pron.def.pers
n:obj1	nodetype=complex+number=sg+sempos=n.denot
eat v:to+inf	nodetype=complex+deontmod=decl+diathesis=act+dispmod=nil+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=nil+verbmod=nil
moderately adv	nodetype=complex+degcmp=pos+negation=neg0+sempos=adv.denot.grad.neg
both n:attr	nodetype=complex+number=pl+sempos=n.pron.indef
v:near+ger	nodetype=complex+deontmod=decl+diathesis=act+dispmod=nil+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=nil+verbmod=nil
alternative n:subj	nodetype=complex+definiteness=indefinite+number=sg+sempos=n.denot
takeaway n:as+X	nodetype=complex+definiteness=indefinite+number=sg+sempos=n.denot
n:along+X	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
look v:rc	nodetype=complex+deontmod=decl+diathesis=act+dispmod=disp0+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=sim+verbmod=ind
n:in+X	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
phone n:attr	nodetype=complex+number=sg+sempos=n.denot
n:near_to+X	nodetype=complex+number=sg+sempos=n.denot
restaurant n:obj2	nodetype=complex+definiteness=indefinite+number=sg+sempos=n.denot
riverside n:on+X	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
section n:near+X	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
english-style adj:attr	nodetype=complex+degcmp=pos+negation=neg0+sempos=adj.denot
suggest v:fin	nodetype=complex+deontmod=decl+diathesis=act+dispmod=disp0+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=sim+verbmod=cdn
X n:near+X	nodetype=complex+number=sg+sempos=n.denot
middle n:in+X	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
provide v:ger	nodetype=complex+deontmod=decl+diathesis=act+dispmod=nil+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=nil+verbmod=nil
n:by+X	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
price n:at+X	nodetype=complex+definiteness=indefinite+number=sg+sempos=n.denot
take_away v:in+fin	nodetype=complex+deontmod=decl+diathesis=act+dispmod=nil+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=nil+verbmod=nil
moderate adj:compl	nodetype=complex+degcmp=pos+negation=neg0+sempos=adj.denot
recommend v:fin	nodetype=complex+deontmod=decl+diathesis=act+dispmod=disp0+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=sim+verbmod=ind
cafe adj:attr	nodetype=complex+degcmp=pos+negation=neg0+sempos=adj.denot
#Cor n:elided	nodetype=qcomplex+
river n:by+X	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
fastfood n:attr	nodetype=complex+number=sg+sempos=n.denot
area n:attr	nodetype=complex+number=sg+sempos=n.denot
X-near n:to_to+X	nodetype=complex+number=sg+sempos=n.denot
X n:subj	nodetype=complex+number=sg+sempos=n.denot
food n:attr	nodetype=complex+number=sg+sempos=n.denot
Cafe n:attr	nodetype=complex+number=sg+sempos=n.denot
X n:over_in+X	nodetype=complex+number=sg+sempos=n.denot
price n:attr	nodetype=complex+number=sg+sempos=n.denot
reach v:rc	nodetype=complex+deontmod=poss+diathesis=pas+dispmod=disp0+iterativeness=it0+negation=neg0+resultative=res0+sempos=v+tense=sim+verbmod=ind
X-name n:obj	nodetype=complex+number=sg+sempos=n.denot
cheaply adv	nodetype=complex+degcmp=pos+negation=neg0+sempos=adv.denot.grad.neg
river n:on+X	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
#PersPron n:subj	nodetype=complex+gender=nr+number=sg+person=1+sempos=n.pron.def.pers
city n:poss	nodetype=complex+definiteness=definite+number=sg+sempos=n.denot
no n:attr	nodetype=complex+number=sg+sempos=n.pron.indef
